0	2087.000000	2373.000000	2612.000000	2576.000000	2599.000000	2577.000000	2673.000000	2671.000000	2236.000000	
1	2087.000000	2373.008057	2612.012207	2575.995850	2598.987793	2577.004150	2672.983643	2671.008057	2236.000000	
2	2087.000000	2375.000000	2614.982666	2575.000000	2595.991455	2577.956787	2669.008545	2672.956787	2236.000000	
3	2087.014160	2375.014160	2613.056641	2575.014160	2595.028320	2573.070801	2670.014160	2668.084961	2236.000000	
4	2087.980469	2376.000000	2617.039062	2576.000000	2597.019531	2578.019531	2670.980469	2673.960938	2236.019531	
5	2086.948975	2376.000000	2618.974609	2575.974609	2598.025391	2578.948975	2670.000000	2672.051025	2237.025391	
6	2084.968262	2376.000000	2618.126709	2575.000000	2598.968262	2576.968262	2669.936768	2673.905029	2238.031738	
7	2084.000000	2376.076904	2622.038574	2575.115479	2598.192627	2576.076904	2668.230957	2671.115479	2238.961426	
8	2084.135742	2378.000000	2623.000000	2577.909424	2602.909424	2577.954834	2674.000000	2674.000000	2237.954834	
9	2087.000000	2378.158203	2623.210938	2576.105469	2601.000000	2577.105469	2673.894531	2674.158203	2237.000000	
10	2086.939941	2381.000000	2627.180176	2577.759766	2601.060059	2578.939941	2671.759766	2676.759766	2236.879883	
11	2086.067627	2381.000000	2630.135254	2574.405762	2602.000000	2578.202881	2668.338135	2673.338135	2235.067627	
12	2087.000000	2381.148682	2631.925537	2580.000000	2601.925537	2580.925537	2672.851318	2677.851318	2235.851318	
13	2086.757324	2382.919189	2631.242676	2579.919189	2601.323486	2580.000000	2671.080811	2676.485107	2234.242676	
14	2084.086670	2382.260254	2633.826660	2579.000000	2604.826660	2580.000000	2672.260254	2681.653076	2236.913330	
15	2085.000000	2385.000000	2632.092773	2579.000000	2603.092773	2580.092773	2675.092773	2678.185303	2235.629395	
16	2085.000000	2384.705078	2632.901611	2579.000000	2603.803467	2580.803467	2675.803467	2679.803467	2232.491455	
17	2085.000000	2382.104736	2632.000000	2579.104736	2602.104736	2579.209473	2673.790527	2678.000000	2237.104736	
18	2084.888672	2383.111328	2631.888672	2579.888672	2603.000000	2580.777100	2672.222900	2677.888672	2237.777100	
19	2084.118652	2384.237549	2631.237549	2579.356201	2602.881348	2579.118652	2674.118652	2677.237549	2235.881348	
20	2084.622803	2385.748535	2632.874268	2582.125732	2602.000000	2579.874268	2674.748535	2678.497314	2235.125732	
21	2082.398193	2384.265381	2632.132812	2582.469238	2602.265381	2579.265381	2673.398193	2675.398193	2236.132812	
22	2085.000000	2385.721436	2633.000000	2579.000000	2603.442871	2580.721436	2675.860596	2677.860596	2236.860596	
23	2084.707520	2384.146240	2632.853760	2579.000000	2600.146240	2578.707520	2675.000000	2677.000000	2236.292480	
24	2083.152832	2384.541748	2631.388916	2578.694336	2600.847168	2577.458252	2674.847168	2677.152832	2238.000000	
25	2083.840332	2382.159668	2627.521240	2577.159668	2599.680908	2580.000000	2673.840332	2677.521240	2237.840332	
26	2083.332764	2382.667236	2624.833740	2577.334717	2597.667236	2579.168457	2672.833740	2674.833740	2237.166260	
27	2084.826904	2380.826904	2623.480957	2574.173096	2596.345947	2575.345947	2671.654053	2674.000000	2237.826904	
28	2084.178955	2380.000000	2621.000000	2575.000000	2597.821045	2576.284668	2669.642334	2673.821045	2237.715332	
29	2084.815918	2380.184082	2620.447754	2574.631836	2597.184082	2573.368164	2668.552246	2673.000000	2240.263672	
30	2084.000000	2380.433350	2617.811035	2573.000000	2598.188965	2575.188965	2670.811035	2672.622314	2236.811035	
31	2084.194336	2378.971924	2616.222412	2573.388672	2599.388672	2576.194336	2669.805664	2671.777588	2236.194336	
32	2085.000000	2383.200195	2613.200195	2575.200195	2600.399414	2576.599609	2668.799805	2674.599609	2237.000000	
33	2085.000000	2383.586670	2613.173096	2576.206787	2598.413330	2575.413330	2668.826904	2673.620117	2237.000000	
34	2085.213379	2381.573486	2610.000000	2576.786621	2599.786621	2576.786621	2672.000000	2675.360107	2237.000000	
35	2086.000000	2380.439209	2610.219482	2576.219482	2599.658691	2576.878174	2672.658691	2673.658691	2237.000000	
36	2086.449951	2381.774902	2611.225098	2576.774902	2601.774902	2579.324951	2674.324951	2675.550049	2236.774902	
37	2087.540039	2380.540039	2611.310303	2576.229980	2601.000000	2577.229980	2672.459961	2674.459961	2236.459961	
38	2086.468750	2379.468750	2609.234375	2577.468750	2600.531250	2577.296875	2673.765625	2676.000000	2238.234375	
39	2088.000000	2380.761230	2610.000000	2578.761230	2599.477539	2575.716309	2673.238770	2676.000000	2238.522461	
40	2088.243408	2379.270020	2609.756592	2578.000000	2600.756592	2577.513184	2673.756592	2675.513184	2237.000000	
41	2089.248047	2377.248047	2608.503906	2578.496094	2600.000000	2576.496094	2672.503906	2674.496094	2236.503906	
42	2089.747070	2377.747070	2607.252930	2579.494385	2599.241455	2578.000000	2671.000000	2675.241455	2235.000000	
43	2088.742188	2377.257812	2607.226807	2577.742188	2597.515381	2578.773193	2671.257812	2673.515381	2234.742188	
44	2088.262207	2378.000000	2605.262207	2576.737793	2598.737793	2580.475830	2671.475830	2675.262207	2234.000000	
45	2088.466309	2378.800293	2606.800293	2577.067139	2599.333984	2579.533691	2671.067139	2676.000000	2234.533691	
46	2087.271484	2380.457031	2608.728516	2579.728516	2602.728516	2581.000000	2673.728516	2676.271484	2235.728516	
47	2088.000000	2378.723877	2609.381104	2578.723877	2602.552490	2581.276123	2673.552490	2676.723877	2235.552490	
48	2087.438721	2378.561279	2612.719238	2578.280762	2602.315918	2581.157959	2674.157959	2675.719238	2237.280762	
